Timestamp,Area Total Pixels,Pixeles Lodo Detectado,Porcentaje Cobertura (%)
2025-12-30 14:10:15,2073600,655638.5,31.62
2025-12-30 14:10:16,2073600,666291.5,32.13
2025-12-30 14:10:16,2073600,685932.5,33.08
2025-12-30 14:10:16,2073600,690895.5,33.32
2025-12-30 14:10:16,2073600,693889.5,33.46
2025-12-30 14:10:16,2073600,686783.0,33.12
2025-12-30 14:10:16,2073600,620563.0,29.93
2025-12-30 14:10:16,2073600,680785.0,32.83
2025-12-30 14:10:16,2073600,641762.0,30.95
2025-12-30 14:10:16,2073600,627363.0,30.25
2025-12-30 14:10:16,2073600,631327.5,30.45
2025-12-30 14:10:16,2073600,625696.5,30.17
2025-12-30 14:10:17,2073600,632190.5,30.49
2025-12-30 14:10:17,2073600,645677.0,31.14
2025-12-30 14:10:17,2073600,634087.0,30.58
2025-12-30 14:10:17,2073600,652887.0,31.49
2025-12-30 14:10:17,2073600,659178.5,31.79
2025-12-30 14:10:17,2073600,682005.0,32.89
2025-12-30 14:10:17,2073600,680574.5,32.82
2025-12-30 14:10:17,2073600,666541.0,32.14
2025-12-30 14:10:17,2073600,675773.0,32.59
2025-12-30 14:10:17,2073600,673316.0,32.47
2025-12-30 14:10:17,2073600,668322.0,32.23
2025-12-30 14:10:18,2073600,670833.0,32.35
2025-12-30 14:10:18,2073600,667582.0,32.19
2025-12-30 14:10:18,2073600,655504.5,31.61
2025-12-30 14:10:18,2073600,654859.0,31.58
2025-12-30 14:10:18,2073600,641744.0,30.95
2025-12-30 14:10:18,2073600,670733.0,32.35
2025-12-30 14:10:18,2073600,676589.5,32.63
2025-12-30 14:10:18,2073600,653427.0,31.51
2025-12-30 14:10:18,2073600,651212.0,31.4
2025-12-30 14:10:18,2073600,640639.0,30.9
2025-12-30 14:10:18,2073600,628753.0,30.32
2025-12-30 14:10:19,2073600,633338.0,30.54
2025-12-30 14:10:19,2073600,643369.5,31.03
2025-12-30 14:10:19,2073600,638455.0,30.79
2025-12-30 14:10:19,2073600,625054.0,30.14
2025-12-30 14:10:19,2073600,616815.5,29.75
2025-12-30 14:10:19,2073600,615305.0,29.67
2025-12-30 14:10:19,2073600,621343.5,29.96
2025-12-30 14:10:19,2073600,609288.0,29.38
2025-12-30 14:10:19,2073600,615131.0,29.66
2025-12-30 14:10:19,2073600,610255.5,29.43
2025-12-30 14:10:19,2073600,590431.5,28.47
2025-12-30 14:10:20,2073600,590582.5,28.48
2025-12-30 14:10:20,2073600,597416.5,28.81
2025-12-30 14:10:20,2073600,575369.5,27.75
2025-12-30 14:10:20,2073600,566879.0,27.34
2025-12-30 14:10:20,2073600,565801.5,27.29
2025-12-30 14:10:20,2073600,562966.0,27.15
2025-12-30 14:10:20,2073600,543909.5,26.23
2025-12-30 14:10:20,2073600,526600.0,25.4
2025-12-30 14:10:20,2073600,518486.5,25.0
2025-12-30 14:10:20,2073600,521249.5,25.14
2025-12-30 14:10:20,2073600,527315.5,25.43
2025-12-30 14:10:20,2073600,520414.0,25.1
2025-12-30 14:10:21,2073600,517760.0,24.97
2025-12-30 14:10:21,2073600,530420.0,25.58
2025-12-30 14:10:21,2073600,528207.5,25.47
2025-12-30 14:10:21,2073600,530434.5,25.58
2025-12-30 14:10:21,2073600,525376.0,25.34
2025-12-30 14:10:21,2073600,514412.5,24.81
2025-12-30 14:10:21,2073600,520098.0,25.08
2025-12-30 14:10:21,2073600,528679.0,25.5
2025-12-30 14:10:21,2073600,528300.0,25.48
2025-12-30 14:10:21,2073600,527059.5,25.42
2025-12-30 14:10:21,2073600,528388.0,25.48
2025-12-30 14:10:22,2073600,543692.5,26.22
2025-12-30 14:10:22,2073600,547414.0,26.4
2025-12-30 14:10:22,2073600,560556.0,27.03
2025-12-30 14:10:22,2073600,566262.0,27.31
